ticker,date,real_RV,predicted_RV,window,train_mse,test_mse,train_qlike,test_qlike,lags_used
SPY,2005-02-28,0.144559,0.15576336,1,0.011368350882829819,0.0017628206894758824,0.08693229522962255,0.06938634981672243,"[""['lag_1', 'lag_2', 'lag_9']""]"
SPY,2005-03-01,0.122455,0.13928655,1,0.011368350882829819,0.0017628206894758824,0.08693229522962255,0.06938634981672243,"[""['lag_1', 'lag_2', 'lag_9']""]"
SPY,2005-03-02,0.131074,0.14918497,1,0.011368350882829819,0.0017628206894758824,0.08693229522962255,0.06938634981672243,"[""['lag_1', 'lag_2', 'lag_9']""]"
SPY,2005-03-03,0.132181,0.13970731,1,0.011368350882829819,0.0017628206894758824,0.08693229522962255,0.06938634981672243,"[""['lag_1', 'lag_2', 'lag_9']""]"
SPY,2005-03-04,0.153933,0.14590135,1,0.011368350882829819,0.0017628206894758824,0.08693229522962255,0.06938634981672243,"[""['lag_1', 'lag_2', 'lag_9']""]"
SPY,2005-03-07,0.163239,0.14281914,1,0.011368350882829819,0.0017628206894758824,0.08693229522962255,0.06938634981672243,"[""['lag_1', 'lag_2', 'lag_9']""]"
SPY,2005-03-08,0.160911,0.15687242,1,0.011368350882829819,0.0017628206894758824,0.08693229522962255,0.06938634981672243,"[""['lag_1', 'lag_2', 'lag_9']""]"
SPY,2005-03-09,0.18035,0.1596431,1,0.011368350882829819,0.0017628206894758824,0.08693229522962255,0.06938634981672243,"[""['lag_1', 'lag_2', 'lag_9']""]"
SPY,2005-03-10,0.089278,0.16077603,1,0.011368350882829819,0.0017628206894758824,0.08693229522962255,0.06938634981672243,"[""['lag_1', 'lag_2', 'lag_9']""]"
SPY,2005-03-11,0.17362,0.15946192,1,0.011368350882829819,0.0017628206894758824,0.08693229522962255,0.06938634981672243,"[""['lag_1', 'lag_2', 'lag_9']""]"
SPY,2005-03-14,0.0613136,0.1211383,1,0.011368350882829819,0.0017628206894758824,0.08693229522962255,0.06938634981672243,"[""['lag_1', 'lag_2', 'lag_9']""]"
SPY,2005-03-15,0.091388,0.15513471,1,0.011368350882829819,0.0017628206894758824,0.08693229522962255,0.06938634981672243,"[""['lag_1', 'lag_2', 'lag_9']""]"
