ticker,date,real_RV,predicted_RV,window,train_mse,test_mse,train_qlike,test_qlike
SPY,2002-02-04,0.148064,0.12483057,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-02-05,0.202129,0.14891703,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-02-06,0.216377,0.18249962,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-02-07,0.170205,0.18183418,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-02-08,0.188818,0.14861223,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-02-11,0.111047,0.16532035,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-02-12,0.122734,0.13609993,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-02-13,0.120517,0.14336783,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-02-14,0.113933,0.13880637,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-02-15,0.148537,0.13801154,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-02-19,0.144563,0.13371632,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-02-20,0.15048,0.13435434,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-02-21,0.160236,0.13625765,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-02-22,0.211438,0.13979566,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-02-25,0.133395,0.1782955,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-02-26,0.178876,0.13516653,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-02-27,0.159157,0.16075647,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-02-28,0.158964,0.15036735,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-03-01,0.130371,0.16081211,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-03-04,0.143252,0.1396651,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-03-05,0.147247,0.14620905,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-03-06,0.153622,0.14522691,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-03-07,0.154216,0.14735751,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-03-08,0.126973,0.14288893,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-03-11,0.103157,0.13973868,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-03-12,0.122952,0.1191927,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-03-13,0.128694,0.13832088,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-03-14,0.0990278,0.13675037,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-03-15,0.095604,0.11977383,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-03-18,0.116532,0.10789851,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-03-19,0.125429,0.12620914,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-03-20,0.094106,0.13169695,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-03-21,0.125783,0.104870364,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-03-22,0.126469,0.12618926,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-03-25,0.117757,0.13133554,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-03-26,0.138397,0.13267699,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-03-27,0.121039,0.1268455,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-03-28,0.122557,0.13200894,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-04-01,0.110279,0.1312304,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-04-02,0.128879,0.1232986,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-04-03,0.114097,0.13281876,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-04-04,0.134819,0.12549058,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-04-05,0.128614,0.1330804,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-04-08,0.132516,0.13046256,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-04-09,0.120736,0.13424547,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-04-10,0.146057,0.12529287,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-04-11,0.140217,0.13777451,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-04-12,0.138026,0.13371848,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-04-15,0.136485,0.13376349,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-04-16,0.0993666,0.12938254,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-04-17,0.123052,0.12531342,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-04-18,0.16665,0.13218407,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-04-19,0.106291,0.15050778,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-04-22,0.112926,0.12498079,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-04-23,0.13723,0.11658438,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-04-24,0.140654,0.1315799,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-04-25,0.17695,0.14447792,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-04-26,0.145949,0.1459022,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-04-29,0.139276,0.13267463,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-04-30,0.126347,0.1352149,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-05-01,0.175748,0.13273218,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-05-02,0.173415,0.1671617,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-05-03,0.15529,0.15656322,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-05-06,0.141871,0.14358751,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-05-07,0.163324,0.13373336,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-05-08,0.135007,0.15889683,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-05-09,0.159238,0.14389412,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-05-10,0.148532,0.14969209,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-05-13,0.139178,0.14025244,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-05-14,0.106641,0.14191301,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-05-15,0.158696,0.1255577,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-05-16,0.133918,0.15060678,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-05-17,0.113494,0.13605374,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-05-20,0.117402,0.12821034,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-05-21,0.113854,0.1203341,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-05-22,0.14908,0.13414045,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-05-23,0.147907,0.13876101,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-05-24,0.122272,0.13411146,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-05-28,0.132954,0.1315177,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-05-29,0.116135,0.13096929,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-05-30,0.147672,0.13213293,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
SPY,2002-05-31,0.143406,0.14175348,1,0.0041890745578841045,0.0022090095947821793,0.08015881569149944,0.02136921831707097
