ticker,date,real_RV,predicted_RV,window,train_mse,test_mse,train_qlike,test_qlike
SPY,2001-01-02,0.220083,0.09843969,1,0.01009366979395001,0.026002758752690917,0.24425437743604986,0.34899432420702403
SPY,2001-01-03,0.756527,0.12783678,1,0.01009366979395001,0.026002758752690917,0.24425437743604986,0.34899432420702403
SPY,2001-01-04,0.247565,0.15985766,1,0.01009366979395001,0.026002758752690917,0.24425437743604986,0.34899432420702403
SPY,2001-01-05,0.313068,0.11315087,1,0.01009366979395001,0.026002758752690917,0.24425437743604986,0.34899432420702403
SPY,2001-01-08,0.234025,0.10216824,1,0.01009366979395001,0.026002758752690917,0.24425437743604986,0.34899432420702403
SPY,2001-01-09,0.196885,0.116045475,1,0.01009366979395001,0.026002758752690917,0.24425437743604986,0.34899432420702403
SPY,2001-01-10,0.256689,0.17242858,1,0.01009366979395001,0.026002758752690917,0.24425437743604986,0.34899432420702403
SPY,2001-01-11,0.169605,0.108422235,1,0.01009366979395001,0.026002758752690917,0.24425437743604986,0.34899432420702403
SPY,2001-01-12,0.212539,0.12009839,1,0.01009366979395001,0.026002758752690917,0.24425437743604986,0.34899432420702403
SPY,2001-01-16,0.149796,0.09675528,1,0.01009366979395001,0.026002758752690917,0.24425437743604986,0.34899432420702403
SPY,2001-01-17,0.16372,0.09432907,1,0.01009366979395001,0.026002758752690917,0.24425437743604986,0.34899432420702403
SPY,2001-01-18,0.159432,0.080429986,1,0.01009366979395001,0.026002758752690917,0.24425437743604986,0.34899432420702403
SPY,2001-01-19,0.170918,0.09373415,1,0.01009366979395001,0.026002758752690917,0.24425437743604986,0.34899432420702403
SPY,2001-01-22,0.16459,0.10337657,1,0.01009366979395001,0.026002758752690917,0.24425437743604986,0.34899432420702403
SPY,2001-01-23,0.125814,0.11046325,1,0.01009366979395001,0.026002758752690917,0.24425437743604986,0.34899432420702403
SPY,2001-01-24,0.147416,0.08126409,1,0.01009366979395001,0.026002758752690917,0.24425437743604986,0.34899432420702403
SPY,2001-01-25,0.161569,0.0867493,1,0.01009366979395001,0.026002758752690917,0.24425437743604986,0.34899432420702403
SPY,2001-01-26,0.139099,0.10843253,1,0.01009366979395001,0.026002758752690917,0.24425437743604986,0.34899432420702403
SPY,2001-01-29,0.0799442,0.08310961,1,0.01009366979395001,0.026002758752690917,0.24425437743604986,0.34899432420702403
SPY,2001-01-30,0.116172,0.090110384,1,0.01009366979395001,0.026002758752690917,0.24425437743604986,0.34899432420702403
SPY,2001-01-31,0.184017,0.08590062,1,0.01009366979395001,0.026002758752690917,0.24425437743604986,0.34899432420702403
SPY,2001-01-31,0.184017,0.098204024,2,0.012134155466328544,0.009954373473450993,0.45374983807668623,0.33401982770249433
SPY,2001-02-01,0.0891091,0.104659036,2,0.012134155466328544,0.009954373473450993,0.45374983807668623,0.33401982770249433
SPY,2001-02-02,0.15837,0.11380334,2,0.012134155466328544,0.009954373473450993,0.45374983807668623,0.33401982770249433
SPY,2001-02-05,0.129498,0.23229973,2,0.012134155466328544,0.009954373473450993,0.45374983807668623,0.33401982770249433
SPY,2001-02-06,0.113381,0.097660996,2,0.012134155466328544,0.009954373473450993,0.45374983807668623,0.33401982770249433
SPY,2001-02-07,0.135523,0.087861754,2,0.012134155466328544,0.009954373473450993,0.45374983807668623,0.33401982770249433
SPY,2001-02-08,0.13408,0.089817144,2,0.012134155466328544,0.009954373473450993,0.45374983807668623,0.33401982770249433
SPY,2001-02-09,0.140044,0.08648847,2,0.012134155466328544,0.009954373473450993,0.45374983807668623,0.33401982770249433
SPY,2001-02-12,0.139074,0.07417037,2,0.012134155466328544,0.009954373473450993,0.45374983807668623,0.33401982770249433
