ticker,date,real_RV,predicted_RV,window,train_mse,test_mse,train_qlike,test_qlike,lags_used
SPY,2002-03-08,0.126973,0.15309732,1,0.00406458996147564,0.0016178818337933925,0.07752163964575648,0.01545149939442238,"[""['lag_31', 'lag_30', 'lag_29', 'lag_28', 'lag_27', 'lag_26', 'lag_25', 'lag_24', 'lag_23', 'lag_22', 'lag_21', 'lag_20', 'lag_19', 'lag_18', 'lag_17', 'lag_16', 'lag_15', 'lag_14', 'lag_13', 'lag_12', 'lag_11', 'lag_10', 'lag_9', 'lag_8', 'lag_7', 'lag_6', 'lag_5', 'lag_4', 'lag_3', 'lag_2', 'lag_1']""]"
SPY,2002-03-11,0.103157,0.14296648,1,0.00406458996147564,0.0016178818337933925,0.07752163964575648,0.01545149939442238,"[""['lag_31', 'lag_30', 'lag_29', 'lag_28', 'lag_27', 'lag_26', 'lag_25', 'lag_24', 'lag_23', 'lag_22', 'lag_21', 'lag_20', 'lag_19', 'lag_18', 'lag_17', 'lag_16', 'lag_15', 'lag_14', 'lag_13', 'lag_12', 'lag_11', 'lag_10', 'lag_9', 'lag_8', 'lag_7', 'lag_6', 'lag_5', 'lag_4', 'lag_3', 'lag_2', 'lag_1']""]"
SPY,2002-03-12,0.122952,0.13054636,1,0.00406458996147564,0.0016178818337933925,0.07752163964575648,0.01545149939442238,"[""['lag_31', 'lag_30', 'lag_29', 'lag_28', 'lag_27', 'lag_26', 'lag_25', 'lag_24', 'lag_23', 'lag_22', 'lag_21', 'lag_20', 'lag_19', 'lag_18', 'lag_17', 'lag_16', 'lag_15', 'lag_14', 'lag_13', 'lag_12', 'lag_11', 'lag_10', 'lag_9', 'lag_8', 'lag_7', 'lag_6', 'lag_5', 'lag_4', 'lag_3', 'lag_2', 'lag_1']""]"
SPY,2002-03-13,0.128694,0.13200249,1,0.00406458996147564,0.0016178818337933925,0.07752163964575648,0.01545149939442238,"[""['lag_31', 'lag_30', 'lag_29', 'lag_28', 'lag_27', 'lag_26', 'lag_25', 'lag_24', 'lag_23', 'lag_22', 'lag_21', 'lag_20', 'lag_19', 'lag_18', 'lag_17', 'lag_16', 'lag_15', 'lag_14', 'lag_13', 'lag_12', 'lag_11', 'lag_10', 'lag_9', 'lag_8', 'lag_7', 'lag_6', 'lag_5', 'lag_4', 'lag_3', 'lag_2', 'lag_1']""]"
SPY,2002-03-14,0.0990278,0.13316275,1,0.00406458996147564,0.0016178818337933925,0.07752163964575648,0.01545149939442238,"[""['lag_31', 'lag_30', 'lag_29', 'lag_28', 'lag_27', 'lag_26', 'lag_25', 'lag_24', 'lag_23', 'lag_22', 'lag_21', 'lag_20', 'lag_19', 'lag_18', 'lag_17', 'lag_16', 'lag_15', 'lag_14', 'lag_13', 'lag_12', 'lag_11', 'lag_10', 'lag_9', 'lag_8', 'lag_7', 'lag_6', 'lag_5', 'lag_4', 'lag_3', 'lag_2', 'lag_1']""]"
SPY,2002-03-15,0.095604,0.12221642,1,0.00406458996147564,0.0016178818337933925,0.07752163964575648,0.01545149939442238,"[""['lag_31', 'lag_30', 'lag_29', 'lag_28', 'lag_27', 'lag_26', 'lag_25', 'lag_24', 'lag_23', 'lag_22', 'lag_21', 'lag_20', 'lag_19', 'lag_18', 'lag_17', 'lag_16', 'lag_15', 'lag_14', 'lag_13', 'lag_12', 'lag_11', 'lag_10', 'lag_9', 'lag_8', 'lag_7', 'lag_6', 'lag_5', 'lag_4', 'lag_3', 'lag_2', 'lag_1']""]"
SPY,2002-03-18,0.116532,0.11606477,1,0.00406458996147564,0.0016178818337933925,0.07752163964575648,0.01545149939442238,"[""['lag_31', 'lag_30', 'lag_29', 'lag_28', 'lag_27', 'lag_26', 'lag_25', 'lag_24', 'lag_23', 'lag_22', 'lag_21', 'lag_20', 'lag_19', 'lag_18', 'lag_17', 'lag_16', 'lag_15', 'lag_14', 'lag_13', 'lag_12', 'lag_11', 'lag_10', 'lag_9', 'lag_8', 'lag_7', 'lag_6', 'lag_5', 'lag_4', 'lag_3', 'lag_2', 'lag_1']""]"
SPY,2002-03-19,0.125429,0.119216636,1,0.00406458996147564,0.0016178818337933925,0.07752163964575648,0.01545149939442238,"[""['lag_31', 'lag_30', 'lag_29', 'lag_28', 'lag_27', 'lag_26', 'lag_25', 'lag_24', 'lag_23', 'lag_22', 'lag_21', 'lag_20', 'lag_19', 'lag_18', 'lag_17', 'lag_16', 'lag_15', 'lag_14', 'lag_13', 'lag_12', 'lag_11', 'lag_10', 'lag_9', 'lag_8', 'lag_7', 'lag_6', 'lag_5', 'lag_4', 'lag_3', 'lag_2', 'lag_1']""]"
SPY,2002-03-20,0.094106,0.12234944,1,0.00406458996147564,0.0016178818337933925,0.07752163964575648,0.01545149939442238,"[""['lag_31', 'lag_30', 'lag_29', 'lag_28', 'lag_27', 'lag_26', 'lag_25', 'lag_24', 'lag_23', 'lag_22', 'lag_21', 'lag_20', 'lag_19', 'lag_18', 'lag_17', 'lag_16', 'lag_15', 'lag_14', 'lag_13', 'lag_12', 'lag_11', 'lag_10', 'lag_9', 'lag_8', 'lag_7', 'lag_6', 'lag_5', 'lag_4', 'lag_3', 'lag_2', 'lag_1']""]"
SPY,2002-03-21,0.125783,0.11270349,1,0.00406458996147564,0.0016178818337933925,0.07752163964575648,0.01545149939442238,"[""['lag_31', 'lag_30', 'lag_29', 'lag_28', 'lag_27', 'lag_26', 'lag_25', 'lag_24', 'lag_23', 'lag_22', 'lag_21', 'lag_20', 'lag_19', 'lag_18', 'lag_17', 'lag_16', 'lag_15', 'lag_14', 'lag_13', 'lag_12', 'lag_11', 'lag_10', 'lag_9', 'lag_8', 'lag_7', 'lag_6', 'lag_5', 'lag_4', 'lag_3', 'lag_2', 'lag_1']""]"
SPY,2002-03-22,0.126469,0.11895671,1,0.00406458996147564,0.0016178818337933925,0.07752163964575648,0.01545149939442238,"[""['lag_31', 'lag_30', 'lag_29', 'lag_28', 'lag_27', 'lag_26', 'lag_25', 'lag_24', 'lag_23', 'lag_22', 'lag_21', 'lag_20', 'lag_19', 'lag_18', 'lag_17', 'lag_16', 'lag_15', 'lag_14', 'lag_13', 'lag_12', 'lag_11', 'lag_10', 'lag_9', 'lag_8', 'lag_7', 'lag_6', 'lag_5', 'lag_4', 'lag_3', 'lag_2', 'lag_1']""]"
SPY,2002-03-25,0.117757,0.12122593,1,0.00406458996147564,0.0016178818337933925,0.07752163964575648,0.01545149939442238,"[""['lag_31', 'lag_30', 'lag_29', 'lag_28', 'lag_27', 'lag_26', 'lag_25', 'lag_24', 'lag_23', 'lag_22', 'lag_21', 'lag_20', 'lag_19', 'lag_18', 'lag_17', 'lag_16', 'lag_15', 'lag_14', 'lag_13', 'lag_12', 'lag_11', 'lag_10', 'lag_9', 'lag_8', 'lag_7', 'lag_6', 'lag_5', 'lag_4', 'lag_3', 'lag_2', 'lag_1']""]"
SPY,2002-03-26,0.138397,0.11947422,1,0.00406458996147564,0.0016178818337933925,0.07752163964575648,0.01545149939442238,"[""['lag_31', 'lag_30', 'lag_29', 'lag_28', 'lag_27', 'lag_26', 'lag_25', 'lag_24', 'lag_23', 'lag_22', 'lag_21', 'lag_20', 'lag_19', 'lag_18', 'lag_17', 'lag_16', 'lag_15', 'lag_14', 'lag_13', 'lag_12', 'lag_11', 'lag_10', 'lag_9', 'lag_8', 'lag_7', 'lag_6', 'lag_5', 'lag_4', 'lag_3', 'lag_2', 'lag_1']""]"
SPY,2002-03-27,0.121039,0.1259745,1,0.00406458996147564,0.0016178818337933925,0.07752163964575648,0.01545149939442238,"[""['lag_31', 'lag_30', 'lag_29', 'lag_28', 'lag_27', 'lag_26', 'lag_25', 'lag_24', 'lag_23', 'lag_22', 'lag_21', 'lag_20', 'lag_19', 'lag_18', 'lag_17', 'lag_16', 'lag_15', 'lag_14', 'lag_13', 'lag_12', 'lag_11', 'lag_10', 'lag_9', 'lag_8', 'lag_7', 'lag_6', 'lag_5', 'lag_4', 'lag_3', 'lag_2', 'lag_1']""]"
SPY,2002-03-28,0.122557,0.1229979,1,0.00406458996147564,0.0016178818337933925,0.07752163964575648,0.01545149939442238,"[""['lag_31', 'lag_30', 'lag_29', 'lag_28', 'lag_27', 'lag_26', 'lag_25', 'lag_24', 'lag_23', 'lag_22', 'lag_21', 'lag_20', 'lag_19', 'lag_18', 'lag_17', 'lag_16', 'lag_15', 'lag_14', 'lag_13', 'lag_12', 'lag_11', 'lag_10', 'lag_9', 'lag_8', 'lag_7', 'lag_6', 'lag_5', 'lag_4', 'lag_3', 'lag_2', 'lag_1']""]"
SPY,2002-04-01,0.110279,0.1230155,1,0.00406458996147564,0.0016178818337933925,0.07752163964575648,0.01545149939442238,"[""['lag_31', 'lag_30', 'lag_29', 'lag_28', 'lag_27', 'lag_26', 'lag_25', 'lag_24', 'lag_23', 'lag_22', 'lag_21', 'lag_20', 'lag_19', 'lag_18', 'lag_17', 'lag_16', 'lag_15', 'lag_14', 'lag_13', 'lag_12', 'lag_11', 'lag_10', 'lag_9', 'lag_8', 'lag_7', 'lag_6', 'lag_5', 'lag_4', 'lag_3', 'lag_2', 'lag_1']""]"
